phi_deg,pol,geometry,strategy,sigma_m2,iters,seconds
167.5000,H,perturbed,fresh,6.10673537e-04,54,1.833
170.0000,V,nominal,fresh,9.36539259e-05,44,1.339
170.0000,V,perturbed,frozen,1.46592135e-04,55,4.083
170.0000,V,perturbed,fresh,1.46592224e-04,53,1.792
170.0000,H,nominal,fresh,1.08813934e-03,47,1.397
170.0000,H,perturbed,frozen,2.46584376e-04,55,4.180
170.0000,H,perturbed,fresh,2.46584866e-04,54,1.670
172.5000,V,nominal,fresh,9.92133067e-05,44,1.327
172.5000,V,perturbed,frozen,1.31402330e-04,55,4.161
172.5000,V,perturbed,fresh,1.31402419e-04,53,1.641
172.5000,H,nominal,fresh,6.57192660e-04,47,1.419
172.5000,H,perturbed,frozen,2.43020671e-04,55,4.335
172.5000,H,perturbed,fresh,2.43021152e-04,54,1.693
175.0000,V,nominal,fresh,1.03021991e-04,43,1.333
175.0000,V,perturbed,frozen,1.18088298e-04,55,4.301
175.0000,V,perturbed,fresh,1.18088391e-04,53,1.689
175.0000,H,nominal,fresh,6.74362616e-04,47,1.434
175.0000,H,perturbed,frozen,4.31804322e-04,55,4.746
175.0000,H,perturbed,fresh,4.31804343e-04,53,1.732
177.5000,V,nominal,fresh,1.05202884e-04,43,1.416
177.5000,V,perturbed,frozen,1.07527157e-04,55,4.555
177.5000,V,perturbed,fresh,1.07527259e-04,53,1.866
177.5000,H,nominal,fresh,8.41016996e-04,45,1.411
177.5000,H,perturbed,frozen,6.21708439e-04,55,4.475
177.5000,H,perturbed,fresh,6.21708323e-04,53,1.688
180.0000,V,nominal,fresh,1.05905731e-04,40,1.281
180.0000,V,perturbed,frozen,1.00062534e-04,54,4.251
180.0000,V,perturbed,fresh,1.00062587e-04,52,1.808
180.0000,H,nominal,fresh,9.25509566e-04,42,1.337
180.0000,H,perturbed,frozen,6.71275219e-04,55,4.421
180.0000,H,perturbed,fresh,6.71275010e-04,53,1.693
